movieId,title,year,genres,cast,keywords,overview
1,The Shawshank Redemption,1994,Drama,Tim Robbins Morgan Freeman Bob Gunton,prison hope friendship redemption,Two imprisoned men bond over years finding solace and redemption through acts of common decency.
2,The Godfather,1972,Crime Drama,Marlon Brando Al Pacino James Caan,mafia family power crime,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
3,The Dark Knight,2008,Action Crime Drama,Christian Bale Heath Ledger Aaron Eckhart,batman joker superhero chaos,Batman raises the stakes in his war on crime with the help of Lieutenant Gordon and District Attorney Harvey Dent.
4,Pulp Fiction,1994,Crime Drama Thriller,John Travolta Samuel L. Jackson Uma Thurman,nonlinear crime violence redemption,The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.
5,Forrest Gump,1994,Drama Romance Comedy,Tom Hanks Robin Wright Gary Sinise,history love simplicity destiny,The presidencies of Kennedy and Johnson the Vietnam War and Watergate are seen through the eyes of an Alabama man with an IQ of 75.
6,Inception,2010,Action Adventure Sci-Fi,Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page,dream heist mind layers reality,A thief who steals corporate secrets through dream-sharing technology is given the task of planting an idea into a CEO's mind.
7,The Matrix,1999,Action Sci-Fi,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,simulation reality hacker dystopia,A hacker discovers that reality is a simulation and joins a rebellion against its machine controllers.
8,Goodfellas,1990,Biography Crime Drama,Ray Liotta Robert De Niro Joe Pesci,mob gangster rise fall loyalty,The story of Henry Hill and his life in the mob covering his relationship with his wife and partners.
9,Interstellar,2014,Adventure Drama Sci-Fi,Matthew McConaughey Anne Hathaway Jessica Chastain,space time travel black hole wormhole,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
10,The Silence of the Lambs,1991,Crime Drama Thriller,Jodie Foster Anthony Hopkins Scott Glenn,serial killer psychological fbi cannibalism,A young FBI cadet must receive the help of an incarcerated cannibalistic serial killer to catch another serial killer.
11,Schindler's List,1993,Biography Drama History,Liam Neeson Ben Kingsley Ralph Fiennes,holocaust war rescue jews history,In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce.
12,The Lord of the Rings The Fellowship of the Ring,2001,Adventure Drama Fantasy,Elijah Wood Ian McKellen Orlando Bloom,ring quest fantasy fellowship,A meek Hobbit and eight companions set out on a journey to destroy a powerful ring and save Middle-earth from the Dark Lord Sauron.
13,Fight Club,1999,Drama,Brad Pitt Edward Norton Helena Bonham Carter,identity anarchy consumerism soap,An insomniac office worker forms an underground fight club with a soap salesman.
14,Star Wars A New Hope,1977,Action Adventure Fantasy,Mark Hamill Harrison Ford Carrie Fisher,space galaxy force jedi rebellion,Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy.
15,The Avengers,2012,Action Adventure Sci-Fi,Robert Downey Jr Chris Evans Scarlett Johansson,superhero marvel team avengers,Earth's mightiest heroes are assembled to fight Loki and his alien army threatening global destruction.
16,Titanic,1997,Drama Romance,Leonardo DiCaprio Kate Winslet Billy Zane,ship love tragedy class,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the ill-fated Titanic.
17,Jurassic Park,1993,Action Adventure Sci-Fi,Sam Neill Laura Dern Jeff Goldblum,dinosaurs island science genetics,A pragmatic paleontologist visits an almost-complete theme park of cloned dinosaurs with a critical eye.
18,The Lion King,1994,Animation Adventure Drama,Matthew Broderick Jeremy Irons James Earl Jones,lion pride betrayal destiny Africa,Lion prince Simba and his father are targeted by his bitter uncle who wants to ascend the throne himself.
19,Toy Story,1995,Animation Adventure Comedy,Tom Hanks Tim Allen Don Rickles,toys friendship jealousy adventure,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy.
20,Finding Nemo,2003,Animation Adventure Comedy,Albert Brooks Ellen DeGeneres Alexander Gould,ocean fish father son journey,After his son is captured in the Great Barrier Reef a timid clownfish sets out on a journey to bring him home.
21,Up,2009,Animation Adventure Comedy,Edward Asner Jordan Nagai John Ratzenberger,adventure balloon old man friendship,78-year-old Carl Fredricksen travels to Paradise Falls by tying thousands of balloons to his house.
22,WALL-E,2008,Animation Adventure Family,Ben Burtt Elissa Knight Jeff Garlin,robot future earth environment love,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will determine the fate of mankind.
23,The Incredibles,2004,Animation Action Adventure,Craig T. Nelson Holly Hunter Samuel L. Jackson,superhero family powers identity,A family of undercover superheroes are forced to act when a new villain threatens humanity.
24,Spirited Away,2001,Animation Adventure Family,Daveigh Chase Suzanne Pleshette Miyu Irino,spirit world magic transformation Japan,A young girl wanders into a world ruled by gods and witches and her parents are turned into pigs by a witch.
25,Princess Mononoke,1997,Animation Action Adventure,Billy Crudup Billy Bob Thornton Minnie Driver,nature war forest spirits Japan,On a journey to find the cure for a Tatarigami curse Ashitaka finds himself in the middle of a war between forest gods and humans.
26,Avengers Infinity War,2018,Action Adventure Sci-Fi,Robert Downey Jr Chris Hemsworth Mark Ruffalo,thanos infinity stones marvel,The Avengers and their allies face their greatest enemy Thanos who intends to collect all six Infinity Stones.
27,Black Panther,2018,Action Adventure Sci-Fi,Chadwick Boseman Michael B Jordan Lupita Nyongo,wakanda africa marvel superhero,T'Challa returns home to the isolated technologically advanced African nation of Wakanda to succeed to the throne.
